Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
ModelEntity;ModelEntity1;[Population];Run;Content;NumberInSystem;Average;279,769,270,694,465
ModelEntity;ModelEntity1;[Population];Run;Content;NumberInSystem;Maximum;11
ModelEntity;ModelEntity1;[Population];Run;Content;NumberInSystem;Minimum;0
ModelEntity;ModelEntity1;[Population];Run;FlowTime;TimeInSystem;Average;0,138477944358818
ModelEntity;ModelEntity1;[Population];Run;FlowTime;TimeInSystem;Maximum;0,5534172972511
ModelEntity;ModelEntity1;[Population];Run;FlowTime;TimeInSystem;Minimum;0,0519867666950207
ModelEntity;ModelEntity1;[Population];Run;FlowTime;TimeInSystem;Observations;484
ModelEntity;ModelEntity1;[Population];Run;Throughput;NumberCreated;Total;486
ModelEntity;ModelEntity1;[Population];Run;Throughput;NumberDestroyed;Total;484
Server;Chequeo_pasaporte;InputBuffer;Run;Content;NumberInStation;Average;0,000117987523771568
Server;Chequeo_pasaporte;InputBuffer;Run;Content;NumberInStation;Maximum;1
Server;Chequeo_pasaporte;InputBuffer;Run;Content;NumberInStation;Minimum;0
Server;Chequeo_pasaporte;InputBuffer;Run;HoldingTime;TimeInStation;Average;5.83E+08
Server;Chequeo_pasaporte;InputBuffer;Run;HoldingTime;TimeInStation;Maximum;0,00267754904601958
Server;Chequeo_pasaporte;InputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Server;Chequeo_pasaporte;InputBuffer;Run;Throughput;NumberEntered;Total;486
Server;Chequeo_pasaporte;InputBuffer;Run;Throughput;NumberExited;Total;486
Server;Chequeo_pasaporte;OutputBuffer;Run;Throughput;NumberEntered;Total;486
Server;Chequeo_pasaporte;OutputBuffer;Run;Throughput;NumberExited;Total;486
Server;Chequeo_pasaporte;Processing;Run;Content;NumberInStation;Average;0,302176751672694
Server;Chequeo_pasaporte;Processing;Run;Content;NumberInStation;Maximum;3
Server;Chequeo_pasaporte;Processing;Run;Content;NumberInStation;Minimum;0
Server;Chequeo_pasaporte;Processing;Run;HoldingTime;TimeInStation;Average;0,0149223087245775
Server;Chequeo_pasaporte;Processing;Run;HoldingTime;TimeInStation;Maximum;0,0199256823954777
Server;Chequeo_pasaporte;Processing;Run;HoldingTime;TimeInStation;Minimum;0,00877595530162978
Server;Chequeo_pasaporte;Processing;Run;Throughput;NumberEntered;Total;486
Server;Chequeo_pasaporte;Processing;Run;Throughput;NumberExited;Total;486
Server;Chequeo_pasaporte;[Resource];Run;Capacity;ScheduledUtilization;Percent;100,725,583,890,898
Server;Chequeo_pasaporte;[Resource];Run;Capacity;UnitsAllocated;Total;486
Server;Chequeo_pasaporte;[Resource];Run;Capacity;UnitsScheduled;Average;3
